property_id,area_sqft,price_inr,location,bhk_count,listing_date,is_active
PROP_101,1200.0,6500000.0,Whitefield,2,2026-08-01,TRUE
PROP_102,1650.0,9200000.0,Indiranagar,3,2026-08-02,TRUE
PROP_103,950.0,4800000.0,Electronic City,2,2026-08-03,TRUE
PROP_104,2200.0,15500000.0,Koramangala,4,2026-08-04,TRUE
PROP_105,750.0,3400000.0,Marathahalli,1,2026-08-05,TRUE
PROP_106,1400.0,8100000.0,HSR Layout,3,2026-08-06,TRUE
PROP_107,1850.0,11000000.0,Bellandur,3,2026-08-07,TRUE
PROP_108,1100.0,5900000.0,Hebbal,2,2026-08-08,TRUE
PROP_109,2500.0,19000000.0,Sarjapur Road,4,2026-08-09,TRUE
PROP_110,1300.0,7300000.0,JP Nagar,3,2026-08-10,TRUE
